CD_GEOCMU,NM_MUNICIP
3517208,GUAIÇARA
3504206,AURIFLAMA
3520905,IPAUSSU
3519071,HORTOLÂNDIA
3505401,BARRA DO TURVO
3502507,APARECIDA
3534401,OSASCO
3505708,BARUERI
3501400,ÁLVARO DE CARVALHO
3544608,SABINO
3553906,TARABAI
3505005,BARÃO DE ANTONINA
3515301,ESTRELA DO NORTE
3535903,PARANAPUÃ
3544400,RUBIÁCEA
3531902,MORRO AGUDO
3544103,RIO GRANDE DA SERRA
3526308,LAGOINHA
3541208,PRESIDENTE BERNARDES
3545209,SALTO
3529401,MAUÁ
3527009,LINDÓIA
3556503,VÁRZEA PAULISTA
3508306,CABRÁLIA PAULISTA
3529708,MIGUELÓPOLIS
3555109,TUPI PAULISTA
3519204,IACRI
3503802,ARTUR NOGUEIRA
3503901,ARUJÁ
3518305,GUARAREMA
3554953,TUIUTI
3507902,BROTAS
3503307,ARARAS
3549201,SÃO JOÃO DAS DUAS PONTES
3501509,ALVINLÂNDIA
3520806,INÚBIA PAULISTA
3539004,PIRANGI
3516507,GABRIEL MONTEIRO
3554201,TEJUPÁ
3500600,ÁGUAS DE SÃO PEDRO
3551504,SERRANA
3556206,VALINHOS
3544251,ROSANA
3518859,GUATAPARÁ
3540507,PORANGABA
3549003,SÃO FRANCISCO
3545506,SANDOVALINA
3542206,RANCHARIA
3511607,CESÁRIO LANGE
3526407,LARANJAL PAULISTA
3543204,RIBEIRÃO DO SUL
3530003,MIRA ESTRELA
3532009,MORUNGABA
3512704,CORUMBATAÍ
3546504,SANTA ERNESTINA
3505104,BARBOSA
3512001,COLINA
3518909,GUZOLÂNDIA
3535705,PARAÍSO
3553955,TARUMÃ
3522208,ITAPECERICA DA SERRA
3541703,QUATÁ
3516408,FRANCO DA ROCHA
3555901,URU
3500501,ÁGUAS DE LINDÓIA
3538907,PIRAJUÍ
3551900,SEVERÍNIA
3521903,ITAJOBI
3536901,PEDRANÓPOLIS
3506409,BILAC
3548104,SANTO ANTÔNIO DO JARDIM
3551306,SEBASTIANÓPOLIS DO SUL
3529104,MARINÓPOLIS
3538709,PIRACICABA
3509205,CAJAMAR
3527108,LINS
3532504,NEVES PAULISTA
3553302,TAMBAÚ
3518503,GUAREÍ
3521150,IPIGUÁ
3503158,ARAPEÍ
3540804,POTIRENDABA
3510005,CÂNDIDO MOTA
3522000,ITAJU
3503208,ARARAQUARA
3540705,PORTO FERREIRA
3506359,BERTIOGA
3550506,SÃO PEDRO DO TURVO
3523503,ITATINGA
3534906,PACAEMBU
3542800,RIBEIRA
3509007,CAIEIRAS
3511003,CASTILHO
3541000,PRAIA GRANDE
3526704,LEME
3508405,CABREÚVA
3538501,PIQUETE
3511508,CERQUILHO
3554102,TAUBATÉ
3511102,CATANDUVA
3532827,NOVA CAMPINA
3557006,VOTORANTIM
3548401,SANTÓPOLIS DO AGUAPEÍ
3552700,TABATINGA
3532801,NOVA ALIANÇA
3547304,SANTANA DE PARNAÍBA
3518602,GUARIBA
3538600,PIRACAIA
3536604,PAULO DE FARIA
3531308,MONTE ALTO
3502606,APARECIDA D'OESTE
3513405,CRUZEIRO
3535408,PANORAMA
3517406,GUAÍRA
3549904,SÃO JOSÉ DOS CAMPOS
3502705,APIAÍ
3553104,TAIAÇU
3524709,JAGUARIÚNA
3526902,LIMEIRA
3504305,AVAÍ
3503000,ARAMINA
3542107,RAFARD
3527504,LUCIANÓPOLIS
3547650,SANTA SALETE
3507100,BOM JESUS DOS PERDÕES
3552502,SUZANO
3534500,OSCAR BRESSANE
3503356,ARCO-ÍRIS
3519105,IACANGA
3555406,UBATUBA
3550704,SÃO SEBASTIÃO
3513207,CRISTAIS PAULISTA
3513702,DESCALVADO
3525805,JÚLIO MESQUITA
3524303,JABOTICABAL
3525706,JOSÉ BONIFÁCIO
3507209,BORÁ
3519808,ICÉM
3512407,CORDEIRÓPOLIS
3549607,SÃO JOSÉ DO BARREIRO
3535101,PALMARES PAULISTA
3557154,ZACARIAS
3549706,SÃO JOSÉ DO RIO PARDO
3548005,SANTO ANTÔNIO DE POSSE
3515608,FERNANDO PRESTES
3552908,TACIBA
3552601,TABAPUÃ
3547205,SANTANA DA PONTE PENSA
3509254,CAJATI
3528007,MACATUBA
3519055,HOLAMBRA
3525854,JUMIRIM
3518008,GUARANI D'OESTE
3504909,BANANAL
3506805,BOCAINA
3543303,RIBEIRÃO PIRES
3555000,TUPÃ
3545159,SALTINHO
3504404,AVANHANDAVA
3538808,PIRAJU
3554755,TRABIJU
3546702,SANTA GERTRUDES
3522604,ITAPIRA
3506201,BENTO DE ABREU
3509403,CAJURU
3533700,OCAUÇU
3501707,AMÉRICO BRASILIENSE
3556008,URUPÊS
3543105,RIBEIRÃO CORRENTE
3531407,MONTE APRAZÍVEL
3505807,BASTOS
3549953,SÃO LOURENÇO DA SERRA
3501806,AMÉRICO DE CAMPOS
3508504,CAÇAPAVA
3511300,CEDRAL
3534609,OSVALDO CRUZ
3534807,OURO VERDE
3557105,VOTUPORANGA
3536570,PAULISTÂNIA
3500105,ADAMANTINA
3526001,JUNQUEIRÓPOLIS
3524501,JACI
3523305,ITARIRI
3516853,GAVIÃO PEIXOTO
3542503,REGINÓPOLIS
3536208,PARIQUERA-AÇU
